EmpID,Age_ID,AgeGroup_ID,Attrition_ID,BusinessTravel_ID,Department_ID,Education_ID,EducationField_ID,EnvironmentSatisfaction_ID,Gender_ID,JobInvolvement_ID,JobLevel_ID,JobRole_ID,JobSatisfaction_ID,MaritalStatus_ID,Over18_ID,OverTime_ID,PerformanceRating_ID,RelationshipSatisfaction_ID,StockOptionLevel_ID,WorkLifeBalance_ID,TotalWorkingYears_ID,TrainingTimesLastYear,YearsInCurrentRole_ID,YearsSinceLastPromotion_ID,YearsWithCurrManager_ID,DailyRate,DistanceFromHomeInKm,EmployeeCount,EmployeeNumber,HourlyRate,MonthlyIncome,SalarySlab,MonthlyRate,PercentSalaryHike,StandardHours,NumCompaniesWorked
19,3,1,2,1,1,1,1,2,2,2,1,3,2,1,1,1,1,3,1,2,1,0,1,1,1,959,1.6,1,657,83,2836,Upto 5k,11757,13,80,1
20,3,1,1,1,1,3,2,2,1,1,1,3,1,1,1,2,1,3,1,1,1,5,1,1,1,1362,16.1,1,701,32,1009,Upto 5k,26999,11,80,1
21,3,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,500,3.2,1,922,49,2044,Upto 5k,22052,13,80,1
22,3,1,1,1,1,1,4,4,1,1,1,1,4,1,1,1,1,4,1,1,1,2,1,1,1,129,6.4,1,960,84,2973,Upto 5k,13008,19,80,1
23,3,1,1,1,1,1,2,2,2,2,1,3,4,1,1,2,1,2,1,1,1,2,1,1,1,1097,17.7,1,1016,98,2600,Upto 5k,18275,15,80,1
24,3,1,1,2,2,1,3,2,2,1,1,2,3,1,1,2,1,4,1,1,1,3,1,1,1,769,14.5,1,1077,54,2323,Upto 5k,17205,14,80,1
25,3,1,2,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,1,4,1,2,1,1,1,805,4.8,1,1198,87,3033,Upto 5k,12828,12,80,1
26,3,1,2,1,2,1,3,1,1,4,1,2,3,1,1,1,1,3,1,1,1,2,1,1,1,654,33.8,1,1226,43,2678,Upto 5k,5050,17,80,1
27,3,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1141,3.2,1,1657,31,2783,Upto 5k,13251,19,80,1
28,3,1,2,1,2,3,1,2,1,1,1,2,4,1,1,1,1,2,1,1,1,3,1,1,1,727,14.5,1,1680,54,2728,Upto 5k,21082,11,80,1
29,4,1,2,1,1,2,1,1,1,1,1,3,3,1,1,1,1,3,1,1,1,6,1,1,1,391,24.1,1,30,96,1232,Upto 5k,19281,14,80,1
30,4,1,2,1,1,2,2,2,1,2,1,3,1,1,1,1,1,2,1,2,1,4,1,1,1,996,4.8,1,379,100,3230,Upto 5k,10531,17,80,1
31,4,1,1,2,2,3,4,4,2,2,1,2,2,1,1,2,1,1,1,1,1,3,1,1,1,756,1.6,1,478,99,2174,Upto 5k,9150,11,80,1
32,4,1,2,3,2,2,2,4,1,1,1,2,3,1,1,1,2,1,1,4,1,3,1,1,1,895,14.5,1,484,39,2610,Upto 5k,2851,24,80,1
33,4,1,1,1,2,1,1,1,2,4,1,2,2,1,1,1,1,3,1,1,1,0,1,1,1,156,19.3,1,494,90,2716,Upto 5k,25422,15,80,1
34,4,1,2,1,2,3,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1343,35.4,1,669,49,3447,Upto 5k,24444,11,80,1
35,4,1,1,1,1,3,5,2,2,1,1,3,3,1,1,1,1,2,1,4,1,3,1,1,1,1427,29,1,923,65,2693,Upto 5k,8870,19,80,1
36,4,1,1,1,1,1,1,1,2,2,1,1,4,1,1,1,1,2,1,4,1,6,1,1,1,1334,16.1,1,1079,36,1416,Upto 5k,17258,13,80,1
37,4,1,2,1,1,3,4,2,2,2,1,3,2,1,1,2,1,1,1,2,1,6,1,1,1,984,1.6,1,1131,70,2070,Upto 5k,25326,11,80,1
38,4,1,1,2,1,2,1,4,2,2,1,1,1,1,1,1,2,1,1,3,1,2,1,1,1,251,16.1,1,1279,45,2625,Upto 5k,25308,20,80,1
39,4,1,2,1,1,3,2,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,1,1,1,546,8,1,1623,97,3117,Upto 5k,26009,18,80,1
40,4,1,1,1,2,3,3,3,1,1,1,2,2,1,1,1,1,4,1,1,1,3,1,1,1,337,11.3,1,1780,31,2679,Upto 5k,4567,13,80,1
41,4,1,2,1,2,3,2,1,1,1,1,2,4,1,1,2,1,3,1,1,1,6,1,1,1,501,8,1,2021,58,2380,Upto 5k,25479,11,80,1
42,5,1,2,3,1,2,2,2,1,4,1,1,3,2,1,2,1,4,2,4,1,2,1,1,1,1123,25.7,1,22,96,2935,Upto 5k,7324,13,80,1
43,5,1,2,1,1,1,2,3,2,1,1,1,3,1,1,1,1,1,1,1,1,5,1,1,1,534,24.1,1,144,59,2871,Upto 5k,23785,15,80,1
44,5,1,2,1,1,3,4,1,1,1,1,1,3,3,1,1,1,1,3,1,1,2,1,1,1,594,3.2,1,169,100,2523,Upto 5k,19299,14,80,0
45,5,1,2,1,1,3,2,1,1,1,1,3,3,3,1,1,2,2,2,1,1,6,1,1,1,1256,30.6,1,217,80,2323,Upto 5k,11992,24,80,1
46,5,1,2,1,1,1,1,2,1,4,1,3,2,2,1,2,1,2,3,4,1,2,1,1,1,1136,8,1,284,60,2328,Upto 5k,12392,16,80,1
47,5,1,2,1,1,1,2,4,2,1,1,3,2,3,1,1,1,3,3,1,1,1,1,1,1,253,17.7,1,511,43,2244,Upto 5k,24440,13,80,1
48,5,1,1,2,1,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1368,6.4,1,593,99,3894,Upto 5k,9129,16,80,5
49,5,1,2,1,1,3,2,4,1,1,1,3,1,3,1,1,2,3,1,1,1,3,1,1,1,604,9.7,1,675,69,2773,Upto 5k,12145,20,80,0
50,5,1,2,1,1,2,1,2,1,2,2,5,3,3,1,1,2,2,2,3,1,2,1,1,1,1230,1.6,1,872,33,4775,Upto 5k,19146,22,80,6
51,5,1,1,1,1,3,1,3,2,1,2,5,1,3,1,2,1,2,3,2,1,3,1,1,1,617,4.8,1,926,34,4171,Upto 5k,10022,19,80,0
52,5,1,2,1,1,3,1,3,1,3,1,1,4,3,1,1,1,2,3,4,1,3,1,1,1,217,12.9,1,1019,94,2451,Upto 5k,6881,15,80,1
53,5,1,1,2,1,4,1,1,1,2,1,3,3,3,1,2,1,4,3,1,1,5,1,1,1,1256,4.8,1,1203,48,2853,Upto 5k,4223,11,80,0
54,5,1,2,3,1,2,5,3,2,2,1,3,1,3,1,2,1,4,1,4,1,2,1,1,1,457,41.8,1,1605,85,2814,Upto 5k,10293,14,80,1
55,5,1,1,1,1,3,2,1,2,1,1,1,4,3,1,2,1,1,1,1,1,6,1,1,1,1294,12.9,1,1783,79,2398,Upto 5k,15999,17,80,1
56,5,1,1,1,1,3,1,2,1,1,1,3,2,1,1,2,2,2,1,1,1,2,1,1,1,391,11.3,1,1878,75,2472,Upto 5k,26092,23,80,1
57,5,1,2,1,1,2,1,2,1,1,1,3,1,1,1,1,1,3,1,2,1,2,1,1,1,581,1.6,1,2007,63,3375,Upto 5k,17624,12,80,0
58,6,1,2,1,2,3,4,1,1,1,1,2,4,2,1,1,1,1,3,1,1,3,1,1,1,541,3.2,1,113,62,2322,Upto 5k,9518,13,80,3
59,6,1,2,1,1,3,1,1,1,1,1,3,3,2,1,1,1,1,2,4,1,2,1,1,1,1309,41.8,1,465,83,2904,Upto 5k,16092,12,80,1
60,6,1,2,1,1,1,2,4,1,4,1,3,4,3,1,1,1,2,3,2,1,3,1,1,1,885,6.4,1,705,58,2819,Upto 5k,8544,16,80,2
61,6,1,2,1,1,3,2,3,1,1,1,1,4,3,1,1,1,3,3,2,1,2,1,1,1,650,14.5,1,758,37,2500,Upto 5k,4344,14,80,1
62,6,1,2,1,1,3,2,4,1,4,1,3,1,1,1,1,1,3,1,1,1,3,1,1,1,310,16.1,1,784,79,3505,Upto 5k,19630,18,80,1
63,6,1,1,1,1,1,1,1,1,4,1,1,4,3,1,2,2,1,2,1,1,2,1,1,1,1243,9.7,1,811,63,1601,Upto 5k,3445,21,80,1
64,6,1,2,1,1,2,1,2,1,1,1,3,1,3,1,1,2,3,3,1,1,2,1,1,1,373,1.6,1,1270,47,1223,Upto 5k,16901,22,80,1
65,6,1,2,1,1,3,1,4,1,1,2,1,1,1,1,1,1,4,1,1,1,2,1,1,1,507,32.2,1,1533,97,2272,Upto 5k,24812,14,80,0
66,6,1,2,1,1,1,4,2,1,4,1,3,1,3,1,1,1,3,3,1,1,2,1,1,1,977,16.1,1,1592,45,2073,Upto 5k,12826,16,80,2
67,6,1,1,1,1,3,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1320,12.9,1,1684,93,3989,Upto 5k,20586,11,80,1
68,6,1,1,1,2,1,1,1,1,1,1,2,3,2,1,2,2,4,3,1,1,2,1,1,1,427,11.3,1,1702,99,2275,Upto 5k,25103,21,80,1
69,6,1,2,1,1,3,2,1,2,1,1,1,2,1,1,1,1,1,1,3,1,3,1,1,1,160,6.4,1,1735,51,3295,Upto 5k,12862,13,80,1
70,6,1,2,1,1,2,5,2,1,1,1,1,3,1,1,1,1,1,1,2,1,6,1,1,1,571,19.3,1,1982,78,2647,Upto 5k,13672,13,80,1
71,6,1,1,2,2,1,3,2,1,1,1,2,4,3,1,1,1,2,3,4,1,3,1,1,1,638,14.5,1,2023,33,1790,Upto 5k,26956,19,80,1
72,7,1,2,3,1,2,5,4,2,4,2,5,1,2,1,1,1,3,3,4,1,5,1,1,1,673,17.7,1,26,96,4011,Upto 5k,8232,18,80,0
73,7,1,1,1,1,1,2,3,1,1,1,3,3,3,1,2,1,2,3,4,2,2,1,1,1,813,1.6,1,45,61,2293,Upto 5k,3020,16,80,2
74,7,1,2,1,2,2,5,4,2,1,2,6,1,3,1,1,2,2,3,4,1,2,1,1,1,1353,4.8,1,128,33,4999,Upto 5k,17519,21,80,0
75,7,1,2,1,1,3,1,3,1,1,1,1,1,3,1,1,1,1,3,1,2,2,1,1,1,1127,29,1,150,52,2774,Upto 5k,13257,12,80,0
76,7,1,2,1,2,4,3,2,2,1,2,6,1,2,1,2,1,3,3,2,1,2,1,1,1,1371,16.1,1,507,77,4260,Upto 5k,5915,12,80,1
77,7,1,1,1,2,3,4,4,2,1,1,2,2,1,1,2,1,4,1,1,2,4,1,1,1,1448,1.6,1,554,62,3202,Upto 5k,21972,16,80,1
78,7,1,2,2,2,1,2,2,1,1,1,2,3,3,1,1,1,1,2,1,1,3,1,1,1,535,38.6,1,632,38,2400,Upto 5k,5530,13,80,0
79,7,1,2,1,1,1,2,3,1,4,1,3,3,3,1,2,1,4,2,1,3,3,2,1,1,691,37,1,639,89,2725,Upto 5k,21630,11,80,1
80,7,1,2,1,1,2,5,2,1,2,1,1,2,3,1,1,2,3,3,1,1,2,1,1,1,823,27.4,1,643,94,2127,Upto 5k,9100,21,80,1
81,7,1,1,2,1,1,1,4,2,1,1,1,1,3,1,2,1,3,3,1,2,4,1,1,1,1287,11.3,1,647,55,2886,Upto 5k,14168,16,80,1
82,7,1,1,1,2,2,1,4,2,1,2,6,1,1,1,1,1,2,1,1,1,3,1,1,1,693,4.8,1,720,65,4577,Upto 5k,24785,14,80,9
83,7,1,2,3,1,1,1,1,1,2,1,1,2,2,1,1,1,1,4,1,1,4,1,1,1,1092,14.5,1,812,60,2694,Upto 5k,26551,11,80,1
84,7,1,2,3,1,3,1,4,1,2,1,1,3,3,1,1,1,3,1,4,2,2,1,1,1,1269,6.4,1,888,46,3162,Upto 5k,10778,17,80,0
85,7,1,2,1,1,3,2,2,2,2,2,5,1,2,1,1,1,4,2,1,1,6,1,1,1,1206,27.4,1,1009,41,4377,Upto 5k,24117,15,80,1
86,7,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,3,1,1,2,2,1,1,1,477,38.6,1,1173,49,3597,Upto 5k,6409,22,80,8
87,7,1,1,1,1,2,1,2,2,1,1,1,2,3,1,1,1,2,3,3,1,3,1,1,1,984,27.4,1,1219,97,2210,Upto 5k,3372,13,80,1
88,7,1,2,1,2,3,2,2,2,1,2,6,1,3,1,2,1,1,2,1,1,3,2,1,1,1476,6.4,1,1445,42,4162,Upto 5k,15211,12,80,1
89,7,1,1,2,1,1,2,3,1,1,1,1,4,1,1,2,1,1,1,4,1,2,1,1,1,381,14.5,1,1494,89,3172,Upto 5k,16998,11,80,2
90,7,1,2,3,2,2,1,2,2,1,1,2,2,3,1,1,1,1,3,1,1,2,1,1,1,830,20.9,1,1495,78,2033,Upto 5k,7103,13,80,1
91,7,1,2,1,1,2,4,1,1,2,1,1,4,2,1,1,1,4,4,1,1,3,1,1,1,350,33.8,1,1551,57,2296,Upto 5k,10036,14,80,0
92,7,1,2,2,1,3,4,4,2,1,1,3,3,1,1,2,1,1,1,1,2,2,1,1,1,567,3.2,1,1646,32,3760,Upto 5k,17218,13,80,1
93,7,1,2,1,1,1,2,1,1,4,1,3,1,3,1,1,1,3,3,1,1,1,1,1,1,581,14.5,1,1707,62,4401,Upto 5k,17616,16,80,1
94,7,1,1,1,3,3,6,2,1,3,1,4,1,3,1,1,1,1,3,1,1,2,1,1,1,240,35.4,1,1714,58,1555,Upto 5k,11585,11,80,1
95,7,1,2,1,1,3,2,3,1,1,1,1,4,2,1,1,1,4,4,2,2,2,1,1,1,506,46.7,1,1725,91,3907,Upto 5k,3622,13,80,1
96,7,1,2,2,3,1,2,4,1,1,1,4,3,3,1,1,1,3,3,1,1,2,1,1,1,897,16.1,1,1746,59,2145,Upto 5k,2097,14,80,0
97,7,1,2,1,1,2,1,3,1,2,2,7,1,1,1,1,1,4,1,4,1,2,1,1,1,771,1.6,1,1981,45,4617,Upto 5k,14120,12,80,1
98,8,1,1,1,2,1,3,1,1,2,2,6,1,1,1,2,1,3,1,1,2,1,2,1,1,240,8,1,142,46,5744,5k-10k,26959,11,80,1
99,8,1,2,1,1,3,2,2,1,2,1,3,3,3,1,1,1,1,2,1,1,2,1,1,1,1280,11.3,1,143,64,2889,Upto 5k,26897,11,80,1
100,8,1,2,1,2,1,1,4,1,2,2,6,1,3,1,1,1,3,1,1,2,3,1,1,1,959,45.1,1,183,41,8639,5k-10k,24835,18,80,2
101,8,1,2,1,1,1,1,4,2,1,2,5,1,3,1,1,1,3,2,1,1,3,1,1,1,685,1.6,1,350,62,4898,Upto 5k,7505,12,80,0
102,8,1,2,3,1,2,1,3,1,4,2,7,4,2,1,1,1,3,2,1,2,2,1,1,1,675,8,1,369,85,4000,Upto 5k,18384,12,80,1
103,8,1,2,1,2,2,1,3,2,2,2,6,3,1,1,2,1,4,1,1,1,3,2,1,1,891,6.4,1,527,99,4487,Upto 5k,12090,11,80,1
104,8,1,1,1,1,1,2,4,1,1,1,1,4,3,1,1,1,1,3,1,2,5,1,1,1,688,4.8,1,538,91,4031,Upto 5k,9396,13,80,5
105,8,1,2,1,2,3,2,3,1,1,1,2,1,3,1,1,1,1,1,1,2,1,2,1,2,622,20.9,1,645,40,2096,Upto 5k,26376,11,80,1
106,8,1,2,1,2,1,1,2,1,4,2,6,2,3,1,1,2,1,3,1,1,4,1,1,1,810,12.9,1,707,57,4851,Upto 5k,15678,22,80,0
107,8,1,2,1,2,3,2,1,2,1,2,6,3,1,1,1,2,4,1,4,2,5,2,1,1,883,41.8,1,781,32,6180,5k-10k,22807,23,80,1
108,8,1,2,1,1,3,2,4,1,4,1,3,4,1,1,1,1,1,1,4,2,3,1,1,1,180,3.2,1,854,65,3424,Upto 5k,21632,13,80,7
109,8,1,2,1,2,3,5,1,1,1,2,6,4,3,1,2,1,3,1,1,1,3,1,1,1,141,4.8,1,879,98,4194,Upto 5k,14363,18,80,1
110,8,1,2,1,2,3,3,1,1,2,2,6,4,3,1,1,1,2,1,2,1,1,1,1,1,583,6.4,1,885,87,4256,Upto 5k,18154,12,80,1
111,8,1,1,1,2,2,3,1,1,2,1,2,2,3,1,2,1,1,4,1,1,2,1,1,1,867,30.6,1,952,36,2413,Upto 5k,18798,18,80,1
112,8,1,1,1,1,3,4,2,1,1,1,1,3,3,1,2,1,4,3,2,2,3,3,1,2,1219,6.4,1,1106,32,3691,Upto 5k,4605,15,80,1
113,8,1,2,1,2,4,1,1,1,1,2,6,3,1,1,1,1,4,1,1,1,4,1,1,1,1356,16.1,1,1240,57,4950,Upto 5k,20623,14,80,0
114,8,1,1,2,2,3,1,1,1,3,1,2,3,1,1,2,1,3,1,1,1,4,1,1,1,599,38.6,1,1273,73,1118,Upto 5k,8040,14,80,1
115,8,1,2,1,1,1,2,2,2,1,1,3,2,1,1,1,1,3,1,4,1,3,1,1,1,266,1.6,1,1303,40,2096,Upto 5k,18830,18,80,1
116,8,1,2,1,1,3,2,2,1,1,1,1,3,3,1,1,1,1,4,4,2,6,1,1,1,882,30.6,1,1358,67,3669,Upto 5k,9075,11,80,3
117,8,1,2,1,2,3,1,4,1,4,2,6,1,3,1,1,1,4,1,4,2,3,1,1,1,1372,29,1,1399,93,6232,5k-10k,12477,11,80,2
118,8,1,2,1,1,1,4,4,1,1,1,1,3,3,1,1,1,4,3,4,2,2,1,1,1,949,1.6,1,1415,81,3229,Upto 5k,4910,11,80,4
119,8,1,1,1,2,2,1,4,1,2,1,2,4,3,1,1,1,2,1,1,2,2,1,1,1,383,14.5,1,1439,68,4400,Upto 5k,15182,12,80,3
120,8,1,2,2,1,3,1,2,1,4,2,5,1,2,1,1,1,1,2,1,2,6,3,1,2,772,3.2,1,1653,77,5206,5k-10k,4973,17,80,1
121,8,1,2,1,3,1,6,1,2,1,1,4,2,3,1,1,1,1,1,1,2,3,1,1,1,309,3.2,1,1987,82,2187,Upto 5k,19655,14,80,4
122,8,1,2,1,1,3,5,2,1,1,1,1,1,2,1,2,1,1,3,4,2,2,1,1,1,977,3.2,1,1992,57,3977,Upto 5k,7298,19,80,6
123,8,1,2,1,2,2,5,4,2,1,2,6,1,2,1,2,2,4,3,4,2,3,1,1,1,1382,12.9,1,2018,85,4907,Upto 5k,13684,22,80,0
124,9,2,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1357,40.2,1,55,48,2293,Upto 5k,10558,12,80,1
125,9,2,2,1,2,1,3,1,2,2,2,6,3,3,1,2,1,1,3,4,1,2,1,1,1,1443,37,1,72,47,4157,Upto 5k,21436,19,80,7
126,9,2,2,1,1,1,5,1,2,2,1,3,2,3,1,1,1,1,1,4,1,3,2,1,1,841,9.7,1,164,46,2368,Upto 5k,23300,19,80,1
127,9,2,2,1,3,3,1,1,2,1,1,4,1,3,1,1,2,3,3,1,2,3,3,1,2,1355,40.2,1,177,61,2942,Upto 5k,8916,23,80,1
128,9,2,2,2,1,1,1,1,2,1,2,5,2,2,1,1,2,2,3,3,2,6,2,1,1,1479,1.6,1,384,84,6397,5k-10k,26767,20,80,1
129,9,2,2,2,1,2,2,4,1,1,2,7,4,3,1,2,1,1,3,1,1,3,1,1,1,496,17.7,1,390,60,4741,Upto 5k,22722,13,80,1
130,9,2,1,1,1,4,2,4,1,1,1,1,2,2,1,2,1,3,3,1,1,2,1,1,1,1449,25.7,1,394,45,2373,Upto 5k,14180,13,80,2
131,9,2,1,1,2,4,3,2,1,2,2,6,3,1,1,2,1,4,1,1,2,0,3,2,1,950,6.4,1,401,48,5828,5k-10k,8450,12,80,1
132,9,2,2,1,2,1,1,1,1,1,2,6,1,3,1,1,1,4,3,1,2,3,3,2,2,933,1.6,1,476,57,5296,5k-10k,20156,17,80,1
133,9,2,1,2,1,3,4,1,1,1,1,3,4,1,1,1,2,1,1,1,2,2,2,1,1,575,4.8,1,510,73,3102,Upto 5k,6582,22,80,0
134,9,2,2,1,1,1,1,4,2,1,1,3,3,2,1,1,2,4,2,3,1,3,1,1,1,1349,37,1,560,90,2886,Upto 5k,3032,22,80,1
135,9,2,1,2,3,4,1,3,2,1,1,4,1,2,1,2,1,4,3,4,2,2,3,1,1,426,27.4,1,608,58,2741,Upto 5k,22808,11,80,0
136,9,2,2,1,2,2,2,4,1,1,2,6,1,2,1,1,1,2,2,1,2,5,1,1,1,775,46.7,1,618,45,4306,Upto 5k,4267,12,80,5
137,9,2,1,1,1,1,4,1,1,3,1,1,3,1,1,2,1,4,1,3,1,3,1,1,1,471,38.6,1,622,66,2340,Upto 5k,23213,18,80,1
138,9,2,2,1,2,2,3,4,1,1,2,6,2,3,1,1,2,3,2,2,2,5,1,1,1,703,45.1,1,641,66,6272,5k-10k,7428,20,80,1
139,9,2,2,1,1,1,1,1,2,1,1,1,3,3,1,2,1,1,3,1,1,2,1,1,1,991,9.7,1,686,71,2659,Upto 5k,17759,13,80,1
140,9,2,2,2,1,2,1,4,2,3,1,1,3,2,1,1,1,2,3,1,1,2,1,1,1,575,1.6,1,792,71,4364,Upto 5k,5288,14,80,3
141,9,2,1,1,2,1,4,2,1,2,2,6,4,1,1,1,1,1,1,4,2,2,1,1,1,1146,12.9,1,796,38,5326,5k-10k,3064,17,80,6
142,9,2,1,2,1,2,2,1,2,2,1,3,1,3,1,2,1,2,3,1,2,2,3,1,2,887,8,1,848,88,2366,Upto 5k,20898,14,80,1
143,9,2,2,2,2,1,2,1,1,2,2,6,4,1,1,1,1,4,1,1,2,2,3,1,2,1283,1.6,1,956,52,4294,Upto 5k,11148,12,80,1
144,9,2,2,1,1,2,2,2,1,4,2,5,3,3,1,1,1,4,1,1,2,2,3,1,1,1066,3.2,1,1018,32,5472,5k-10k,3334,12,80,1
145,9,2,1,3,2,2,2,3,1,3,2,6,4,1,1,1,1,3,1,1,2,6,1,1,1,265,46.7,1,1037,79,4969,Upto 5k,21813,18,80,8
146,9,2,1,2,1,1,1,4,1,1,1,3,4,3,1,2,1,4,3,1,2,2,1,1,1,342,3.2,1,1053,57,2042,Upto 5k,15346,14,80,6
147,9,2,2,2,1,3,2,4,2,2,1,3,1,2,1,1,1,1,2,1,1,5,1,1,1,921,1.6,1,1068,66,2007,Upto 5k,25265,13,80,1
148,9,2,2,1,1,2,2,4,1,2,1,1,4,3,1,1,1,2,2,1,2,2,1,1,1,192,1.6,1,1083,59,3955,Upto 5k,11141,16,80,1
149,9,2,1,1,1,1,2,4,1,1,1,1,1,2,1,1,2,1,3,4,1,0,1,1,1,1330,33.8,1,1107,37,2377,Upto 5k,19373,20,80,1
150,9,2,2,1,1,4,2,4,1,4,1,1,3,3,1,1,2,4,3,1,2,2,3,1,2,1384,4.8,1,1177,82,4420,Upto 5k,13421,22,80,1
151,9,2,2,1,1,2,1,1,1,1,1,3,3,1,1,2,2,4,1,4,2,2,2,1,1,583,6.4,1,1275,53,2875,Upto 5k,9973,20,80,1
152,9,2,2,1,1,3,2,4,1,2,1,3,3,1,1,1,1,3,1,1,1,2,1,1,1,683,3.2,1,1407,36,3904,Upto 5k,4050,12,80,0
153,9,2,2,1,1,1,5,1,1,4,1,1,4,1,1,1,1,3,1,1,2,2,3,1,2,652,11.3,1,1417,100,3578,Upto 5k,23577,12,80,0
154,9,2,2,1,1,1,1,4,2,1,1,3,3,3,1,1,2,2,1,1,1,5,1,1,1,474,4.8,1,1581,89,2061,Upto 5k,11133,21,80,1
155,9,2,2,3,1,1,2,2,1,1,1,1,3,1,1,1,2,1,1,1,2,5,3,1,2,786,11.3,1,1693,76,2570,Upto 5k,11925,20,80,1
156,9,2,2,1,1,4,2,2,1,3,1,1,1,3,1,1,1,1,4,2,1,3,1,1,1,390,27.4,1,1718,62,2305,Upto 5k,6217,15,80,1
157,9,2,1,1,3,2,2,2,2,1,1,4,2,3,1,2,1,1,1,1,2,3,1,1,1,920,32.2,1,1818,69,2148,Upto 5k,6889,11,80,0
158,9,2,2,1,2,1,2,1,1,1,2,6,3,1,1,1,1,2,1,1,1,4,1,1,1,572,16.1,1,1836,46,4684,Upto 5k,9125,13,80,1
